title,link,date,publisher,image
What Is the Trump-Backed Stargate AI Project and Why Is It Controversial? | National News | U.S. News,https://news.google.com/read/CBMizwFBVV95cUxPSWN0YVRRTG5xSlkzbFJMLXI4MXVZcURQTnhXSmlMNFhPYV9nd0VNQnNkVVFXWUpOc2MyaUI0a3BxSHNPQktTZ01yemQzWi12UjMzRDA2SDIxQVJrTkpsMGRKRHFwRXBjaU1zMURWaEtyVTQwRWotUVpZM3Q3VnlpUVNadW9IMkZuOWRHdUZvaGVUZWdsdFg0NmpsYmJBU0tHa1V2VjBRNENsVzItTVlSTFZRWlljMnRDWDBmeVNjSldLNlpYeUlwNXF2TDlMeHc?hl=en-US&gl=US&ceid=US%3Aen,Yesterday,Reuters,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
"OpenAI, SoftBank, Oracle to invest $500 bln in AI, Trump says",https://news.google.com/read/CBMivwFBVV95cUxPSHhlTGlzRE05R2VpYnRaSUxGZE1jZTBFaVBxa3ZXNElRSXlFVm8yX3FtSW51eUNnMlp4LVgtYVRLNGtReG5TUVBSMVdKYmxIckdSc2J5Ml8yNkJHYmNnN3Q1SHk5OVdTbWgxdld0RFFfcllKclZsdThHem9tckZ5X2tZR2RNTXlXOEdza0k0R3g5WGtUUWVIcmZVMUE5N3k0LUhoLWtjV043V0lHQzR2bjI0aXdaYkVVY2hBNnlEUQ?hl=en-US&gl=US&ceid=US%3Aen,3 days ago,FedScoop,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://fedscoop.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
"Trump orders review of Biden admin’s AI work, creation of new AI action plan; DOD considering tactical drones to accompany troops Trump is surging to the border",https://news.google.com/read/CBMixAJBVV95cUxNanFsbWJYSExaQjZaR3lBZUpNblFIemlaNkp3b1JfUWpmT0JZLWJ3SThKQUE5M3BrUGZxU2l5STFKSnBSTUM2NmlWVHpyVGpUN0dRck5zeXBiWEpYZk80dmxHLVYyRHpNa0pNaDFLMDFwMUFmdzdFVEVSdDExWm95RndxWHR6Q3c4RlA4SFlJUnFxelllSUx5Ym85WGNBQWUxbElxbTZlT1hiblFQRGxwYURadExXSFFXTEd0aFNSNkxQb09rNDFvSm5RbDl1UW9NOE5ibldtVklUR05EMVM4MEpROEQ3dElDcE42U0JaR2dwOTdaTkVzYzV4Mnhhb3dudl9PXzNWWjNwbmxabWJuazk5bnI2Vm5FSF9ZSmI0ZFVtQUNscy1VekhpaU0zelktdVJwSWtlR281ZTRXV1FEa2Z5c28?hl=en-US&gl=US&ceid=US%3Aen,,Nextgov/FCW,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.nextgov.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Trump axes Biden’s AI executive order,https://news.google.com/read/CBMiogFBVV95cUxOQlZhM0lkQ0JtY29rcndTNEZudG5WTGNMck94S0U5bGZ1OVltSGlfdGZrMGYyY2tmcnZwM1JIYXBneVdaVkFFVnlVc2xIZG9KYi1OWmZidlhMUWF3dmtZOXAtaUFseDRibVRqNkxTc3lTeDRic1BkVloyYzF5WTVGUjRjV3ROMVNpVzBBWllyVWVnODZfbTVrUFEwdXVSZ3hPc2c?hl=en-US&gl=US&ceid=US%3Aen,4 days ago,CNN,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cnn.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
"Elon Musk bashes the $500 billion AI project Trump announced, claiming its backers don’t ‘have the money’",https://news.google.com/read/CBMihAFBVV95cUxOeXI0VDBBdkhkNEQtc3BmaW5NWmxtVkE3VU1WVGt6ODFjOEZVcHNOcTlDbEJ3LTY4QmhmUWJCN01zcDlucjBybWZIdGx6Vk5LYlpnRUNlM1h2Vmh3bnRmM1hwdFUzdkduSEttaUxDX3otUTVpUFBBaFQ4bHY2d3pOa20yY2LSAXtBVV95cUxPemtnSkpneGdySjB3NVU2M2pTREgxdDgxQnFYMzVkeElvZXJlTjB0S19YSHYxcGVHcUNnc1ZXWldNUlZ6eXZ3MHhfckpQeEQ4eDNmekMtTkhFc0dmdHljSUwwc2tzc3dmWFNUSUFsNnNtOUp1dy1YbmExNmc?hl=en-US&gl=US&ceid=US%3Aen,2 days ago,FedScoop,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://fedscoop.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
"Trump rescinds Biden AI order, creates DOGE, orders in-person work",https://news.google.com/read/CBMijwFBVV95cUxQemY1UFM0NGtkejZ6MG1uQW5LRG5HbXRsNE9FZGtsdjA3a0ZlWEczbUtSQUs4U2JqYkdyVVR0dXU4VnJyaG5RR3Y0alYwWi1sSlFOd19CaEJpNkVoNTVaZF9ONDdSc3MxTzRQX0NwMUtaWC1LdE43WXMyRkNmVU9DbWZicFlCVjFWYTgtRTRtZw?hl=en-US&gl=US&ceid=US%3Aen,4 days ago,Mintz,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.mintz.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
President Trump Starts First Week with AI Executive Orders and Investments — AI: The Washington Report,https://news.google.com/read/CBMiuwFBVV95cUxQUm5RdW81TGg4OFRuYTZfR00xaU1FeHpMWGk3NGd2WllBSjQzZURjNmJjdG5KSFo2NWtNQktzNFlzblA4N3R4Zk5NTXpob3I2X055Z1RKU1pnemVHYzVtd2kzSWZWZ0hrRGNFRkRxbGRYX3kxNTNxeHRBV0QtcllKbEtPRlIzTkFGTkhISlNyMXpOZExVYzZhUE9wS1dsRDZ3akljby1KVGY5VVVfMVZLMHRPZ2lETjhCbmtJ?hl=en-US&gl=US&ceid=US%3Aen,,The New York Times,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.nytimes.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Elon Musk Casts Doubt on Trump’s $100 Billion Stargate A.I. Announcement,https://news.google.com/read/CBMilwFBVV95cUxOcGdIX2tUc2M5dHduRW5vdVRqWmQ3RDRqanA2czhfV1VJRE03blZnZ0E1SXFySE43TmpkSFRFWGtUNzVxU2FneEZjb09WSklPX1h2X2xBSkd1c2x6VWNEeF8yLW5YbWEzbGlWd1ZrQVB0ZzJGSlVoNWx5ZlF4WWxLVUhLb1ZYUmlaX3dmcmdBbDRHTFdjWkJv?hl=en-US&gl=US&ceid=US%3Aen,2 days ago,CNBC,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cnbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
Musk undercuts Trump on Stargate AI investment announcement,https://news.google.com/read/CBMigAFBVV95cUxNd3hIcEMwR1QtZUwxWDAtc1BubnMwa1JiV0FLNVUxRThROF9ULWFpUUN4b1otRUEyU1V0dk96TzRUbmNHS1I3MmdZWExIYi1PUGpEekdWcS1RblRDVkVXemp1NUtpc3ZtMEVSV3piazFmS3FYekhnRUttdmUydUY2ONIBhgFBVV95cUxPMUxodVNJNUM4VFdUaEU5X1RkWkV0cDFjNFBFTU5tMzQyeHNZbXRGUF95a08tSWl1NEZRTDEzU2lVMDc5NGgweDUzRmlpQlo1UVRKSE9RbG5RRUM4b3J5ZjFybUlwemg1all2Q1Z3b01EcmxEZHQ4RTJRT0g5aGNkbzJ5czd4QQ?hl=en-US&gl=US&ceid=US%3Aen,2 days ago,Wiley Rein,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.wiley.law&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
President Trump Revokes Biden Administration’s AI EO: What To Know,https://news.google.com/read/CBMilwFBVV95cUxQTE43U3otZmhRTnhrRnFDclVfRDRtZ2stUEhaWmRBY3h1UnVuNUdSSGgzcVgtcE9vWmIySkxrV2lGMjRwQzlsalVRZ1BTNnpOMnExU1I1cVRudEFkbWxXUTVsdHU0Ty1TR3Zza0NsaUNGLWoydFFkYmpvYnFYT2E5c2NldEpaVWVhVTg5RUxYdzZhX1drZVN3?hl=en-US&gl=US&ceid=US%3Aen,2 days ago,CNN,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cnn.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL"
